Designator,Footprint,Quantity,Value,LCSC Part #
"A0, PA0, PA1, PA2",SolderJumper-3_P1.3mm_Bridged2Bar12_RoundedPad1.0x1.5mm,4,A0,
A1,SolderJumper-3_P1.3mm_Bridged2Bar12_RoundedPad1.0x1.5mm,1,A1,
A2,SolderJumper-3_P1.3mm_Bridged2Bar12_RoundedPad1.0x1.5mm,1,A2,
"C1, C10, C11, C12, C2, C3, C4, C5, C6, C7, C8, C9",0805,12,100n,C2930278
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,10,1N4148W,C917030
"F1, F3, F4, F5, F6, F7, F8, F9",1206,8,1206L005 60WR,C315892
"F10, F2",1206,2,1206L025YR,C99561
J1,PinSocket_1x06_P2.54mm_Vertical,1,To_MCU,C2685156
"L1, L10, L11, L12, L13, L14, L15, L16, L17, L18, L19, L2, L20, L21, L22, L23, L24, L25, L26, L27, L28, L29, L3, L30, L31, L32, L4, L5, L6, L7, L8, L9",0805,32,PBY201209T-102Y-N ,C142064
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23,8,AO3401A,
"R1, R2, R3, R4, R5, R6, R7, R8, R9",0805,9,10k,C2930231
"S1, S2, S3, S4, S5, S6, S7, S8",PinSocket_1x05_P2.54mm_Vertical,8,To_TMP117,C2935904
U1,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9548APWR,C130026
U10,SSOP-24_3.9x8.7mm_P0.635mm,1,PCF8575MS/TR,
"U2, U3, U4, U5, U6, U7, U8, U9",SOT-23-6,8,USBLC6-2SC6,C2687116
