Designator,Mid X,Mid Y,Rotation,Layer
C1,176.022,-92.9425,90.0,bottom
C10,167.6315,-115.442,0.0,top
C11,122.5761,-93.218,0.0,bottom
C12,119.38,-102.5945,270.0,bottom
C2,125.944,-82.2805,180.0,top
C3,181.1235,-105.1345,180.0,bottom
C4,113.792,-115.813,0.0,top
C5,143.724,-82.4175,180.0,top
C6,131.572,-115.442,0.0,top
C7,161.474,-82.4175,180.0,top
C8,149.3005,-115.442,0.0,top
C9,179.7835,-82.9255,180.0,top
D1,167.894,-101.0705,180.0,bottom
D10,118.11,-108.33,270.0,bottom
D2,113.244,-83.8045,90.0,top
D3,126.492,-114.797,270.0,top
D4,131.024,-83.9415,90.0,top
D5,144.272,-114.426,270.0,top
D6,148.774,-83.9415,90.0,top
D7,162.53,-114.3,270.0,top
D8,166.554,-83.9415,90.0,top
D9,180.31,-114.552,270.0,top
F1,124.928,-87.3605,270.0,top
F10,117.1961,-93.078,0.0,bottom
F2,176.022,-102.631,270.0,bottom
F3,114.808,-110.733,90.0,top
F4,142.708,-87.4975,270.0,top
F5,132.588,-110.362,90.0,top
F6,160.458,-87.4975,270.0,top
F7,150.338,-110.3255,90.0,top
F8,178.746,-88.042,270.0,top
F9,168.626,-110.3985,90.0,top
J1,138.43,-100.584,90.0,top
L1,117.308,-87.3605,90.0,top
L10,137.628,-87.4975,90.0,top
L11,135.088,-83.4335,90.0,top
L12,137.628,-83.4335,90.0,top
L13,140.208,-110.861,270.0,top
L14,137.668,-110.87,270.0,top
L15,140.208,-114.925,270.0,top
L16,137.668,-114.925,270.0,top
L17,152.838,-87.4975,90.0,top
L18,155.378,-87.4975,90.0,top
L19,152.838,-83.4335,90.0,top
L2,119.848,-87.3605,90.0,top
L20,155.378,-83.4335,90.0,top
L21,157.958,-110.861,270.0,top
L22,155.418,-110.861,270.0,top
L23,157.958,-114.925,270.0,top
L24,155.418,-114.925,270.0,top
L25,171.126,-87.5065,90.0,top
L26,173.666,-87.5065,90.0,top
L27,171.126,-83.4425,90.0,top
L28,173.666,-83.4245,90.0,top
L29,176.246,-110.861,270.0,top
L3,117.308,-83.2965,90.0,top
L30,173.706,-110.87,270.0,top
L31,176.246,-114.925,270.0,top
L32,173.706,-114.925,270.0,top
L4,119.848,-83.2965,90.0,top
L5,122.428,-110.733,270.0,top
L6,119.888,-110.733,270.0,top
L7,122.428,-114.797,270.0,top
L8,119.888,-114.797,270.0,top
L9,135.088,-87.4975,90.0,top
Q1,124.968,-92.016,90.0,top
Q2,114.778,-105.79,270.0,top
Q3,142.814,-92.427,90.0,top
Q4,132.492,-105.7115,270.0,top
Q5,160.528,-92.524,90.0,top
Q6,150.272,-105.4575,270.0,top
Q7,178.882,-92.935,90.0,top
Q8,168.626,-105.6145,270.0,top
R1,167.894,-104.6265,180.0,bottom
R2,123.952,-96.1585,90.0,top
R3,115.794,-101.726,270.0,top
R4,141.732,-96.6505,90.0,top
R5,133.32,-101.488,270.0,top
R6,152.146,-96.6665,0.0,top
R7,147.066,-96.6665,270.0,top
R8,178.832,-96.9205,180.0,top
R9,174.244,-97.1745,270.0,top
S1,114.768,-78.925,90.0,top
S2,124.938,-119.506,270.0,top
S3,132.548,-78.8615,90.0,top
S4,142.718,-119.506,270.0,top
S5,150.298,-78.8615,90.0,top
S6,160.498,-119.506,270.0,top
S7,168.586,-78.8615,90.0,top
S8,178.786,-119.506,270.0,top
U1,159.766,-99.314,0.0,bottom
U10,126.492,-101.092,270.0,bottom
U2,118.324,-93.0855,270.0,top
U3,121.378,-104.902,90.0,top
U4,136.078,-93.3505,270.0,top
U5,139.158,-104.902,90.0,top
U6,153.854,-93.218,270.0,top
U7,156.942,-104.902,90.0,top
U8,172.146,-93.0965,270.0,top
U9,175.296,-104.648,90.0,top
