Designator,Mid X,Mid Y,Rotation,Layer
C1_4,19.1833,-10.2382,180.0,top
C1_3,43.5673,-31.9422,180.0,top
C1_2,19.1833,-31.9422,180.0,top
C1,43.5673,-10.2382,180.0,top
D1_4,13.673,-42.872,0.0,top
D1_3,13.673,-21.168,0.0,top
D1_2,38.057,-21.168,0.0,top
D1,38.057,-42.872,0.0,top
J1_4,12.842,-45.468,90.0,top
J1_3,37.226,-23.764,90.0,top
J1_2,37.226,-45.468,90.0,top
J1,12.842,-23.764,90.0,top
PROT1_4,43.576,-20.195,0.0,top
PROT1_3,19.192,-41.899,0.0,top
PROT1_2,19.192,-20.195,0.0,top
PROT1,43.576,-41.899,0.0,top
R1_4,24.2212,-15.3671,270.0,top
R1_3,24.2212,-37.0711,270.0,top
R1_2,48.6052,-37.0711,270.0,top
R1,48.6052,-15.3671,270.0,top
R2_4,37.732,-17.268,0.0,top
R2_3,13.348,-38.972,0.0,top
R2_2,13.348,-17.268,0.0,top
R2,37.732,-38.972,0.0,top
R3_4,37.7085,-37.372,0.0,top
R3_3,13.3245,-15.668,0.0,top
R3_2,37.7085,-15.668,0.0,top
R3,13.3245,-37.372,0.0,top
R4_4,13.3245,-35.772,0.0,top
R4_3,13.3245,-14.068,0.0,top
R4_2,37.7085,-14.068,0.0,top
R4,37.7085,-35.772,0.0,top
R5_4,13.348,-40.572,0.0,top
R5_3,37.732,-18.868,0.0,top
R5_2,37.732,-40.572,0.0,top
R5,13.348,-18.868,0.0,top
SENS1_4,19.192,-34.038,0.0,top
SENS1_3,43.576,-34.038,0.0,top
SENS1_2,43.576,-12.334,0.0,top
SENS1,19.192,-12.334,0.0,top
